unit_name,asa,background,eyes,pose,skin,hair,shirt,jacket,single outfit,necklace,mask,foam finger,hat,glasses,rarity_score,rank,name
Tour3048,741734168,lime,yellow iris,wave,rainbow green,none,none,none,white robe,none,none,none,blue tando,none,1009.8757368454101,86,Alien Tourism3048
Tour2525,741650023,purple,none,wave,yellow aqueous,none,metallic strapless,blue life vest,none,none,none,none,orange check band,red black cyclops,1006.510503620487,87,Alien Tourism2525
Tour3347,741783278,blood orange,red spiral,ice cream,blue metallic,combover,blue tech shirt,none,none,none,none,none,none,none,1004.7739761478526,88,Alien Tourism3347
Tour3123,741748429,lime,none,wave,green metallic,none,red sleeved halftop,purple  bomber,none,none,none,none,none,blue gold cyclops,1003.9134896902934,89,Alien Tourism3123
Tour273,741189364,royal blue,light blue spiral,wave,black galaxy,einstein,pink longsleeve top,none,none,none,none,none,none,pink monocle,1000.2116087968651,90,Alien Tourism273
Tour2263,741610060,blood orange,pink,wave,purple blue pearlescent,boomer,blue metallic shirt,black puffer vest,none,none,none,none,none,none,997.916575021452,91,Alien Tourism2263
Tour218,741176950,royal blue,none,wave,purple base,none,black neon singlet,yellow,none,algo snake chain,none,red at,acid back hat,yellow black cyclops,995.6346980533499,92,Alien Tourism218
Tour3378,741787833,tidepool,blue glow,wave,rainbow blue,none,gold dress,pink zip puffer,none,none,none,none,none,none,993.3802052740169,93,Alien Tourism3378
Tour1208,741411524,blue blend,none,wave,orange glow,none,blue strapless,camo zip puffer,none,at snake chain,none,red probe,none,red black cyclops,993.2224330777137,94,Alien Tourism1208
Tour2447,741639224,black hole,green,wave,seafoam,twists,none,none,silver suit,at medallion chain,none,none,none,none,992.4711990210296,95,Alien Tourism2447
Tour3485,741800422,lime,silver blue spiral,wave,yellow gloss,none,none,none,french maid,none,purple bandana,blue at,none,none,992.139270184837,96,Alien Tourism3485
Tour2618,741672216,lime,green spiral,wave,purple galaxy,none,gold shirt,gold bomber,none,none,none,none,none,none,991.8834949920877,97,Alien Tourism2618
Tour3850,741849719,red,none,wave,green gloss,none,fuschia longsleeve top,red,none,algo medallion chain,none,purple 1,yellow bandana,blue gold cyclops,991.6615167067619,98,Alien Tourism3850
Tour479,741229041,lavendar,light blue spiral,wave,purple blue pearl,none,none,none,gold suit,at medallion chain,none,none,none,none,990.0921531582799,99,Alien Tourism479
Tour250,741184646,dark gray,none,camera,blue red pearlescent,corn rows,none,midnight blue,none,none,none,none,none,red black cyclops,987.6161374972924,100,Alien Tourism250
Tour145,741110001,acid blur,light blue,donut,gold,cruella,yellow high top,miami vice,none,at medallion chain,none,none,none,none,982.7197003279496,101,Alien Tourism145
Tour2658,741677905,turquoise,none,ice cream,blue metallic,combover,red sleeved halftop,camo zip puffer,none,none,none,none,none,pink sunglasses,982.2125339117913,102,Alien Tourism2658
Tour3395,741790221,blood orange,red glow,wave,blue red pearl,none,yellow high top,none,none,none,none,none,gold safari hat,none,981.1541915155229,103,Alien Tourism3395
Tour2192,741600652,dark gray,orange iris,wave,blue green pearl,none,gold shirt,graffiti,none,none,purple bandana,purple 1,none,none,980.3060870692367,104,Alien Tourism2192
Tour352,741205467,green,purple iris,wave,black blue pearlescent,space bun,metallic strapless,red,none,none,none,none,none,none,974.7257887754562,105,Alien Tourism352
Tour3959,741866002,yellow,blue spiral,wave,orange gloss,none,none,none,hitman suit,at snake chain,none,none,imperial crown,none,971.240889201557,106,Alien Tourism3959
Tour1941,741487043,acid blur,green,wave,green gloss,none,none,none,gold suit,none,none,none,yellow bandana,none,970.7360646415417,107,Alien Tourism1941
Tour1139,741353450,red,yellow iris,donut,metallic blue,mop,none,none,politician suit,none,none,none,none,none,970.5417326437338,108,Alien Tourism1139
Tour51,741089215,acid blur,fuschia spiral,wave,green gloss,none,blue metallic shirt,yellow,none,algo snake chain,surgical mask,none,none,none,968.2910193872808,109,Alien Tourism51
Tour1378,741427980,pink blend,blue human,camera,blue red pearlescent,corn rows,purple camo strapless,blue bomber,none,at medallion chain,purple bandana,none,none,none,963.6547301839976,110,Alien Tourism1378
Tour611,741255306,acid blur,orange glow,wave,purple green pearl,none,metallic oil shirt,none,none,none,none,none,none,none,957.5346586579025,111,Alien Tourism611
Tour549,741241784,red,orange spiral,donut,red blue pearlescent,none,none,none,gold hoodie,none,none,none,none,none,956.2426043878748,112,Alien Tourism549
Tour3285,741775006,yellow,none,camera,green yellow pearlescent,slickback,none,none,camo robe,none,none,none,none,black sunglasses,954.8218943289488,113,Alien Tourism3285
Tour2158,741595762,lightspeed,orange,wave,pink aqueous,mohawk,coral snake shirt,gold bomber,none,none,none,none,none,none,953.2086623995868,114,Alien Tourism2158
Tour2023,741577196,coconut,none,cash money,purple blue gloss,pigtail,none,none,blue striped hoodie,large gold chain,none,none,none,gold visor,952.1011716337118,115,Alien Tourism2023
Tour1291,741420122,pink aurora,none,wave,blue aqueous,none,none,none,pink snow,none,none,none,aqua bandana,green gold cyclops,952.0656903694199,116,Alien Tourism1291
Tour3297,741776537,lavendar,none,coffee,tree frog,none,blue tech shirt,none,none,none,none,none,none,white sunglasses,949.396944856247,117,Alien Tourism3297
Tour363,741207602,red,red spiral,donut,gold,cruella,gold dress,none,none,none,none,none,none,none,945.9624173362938,118,Alien Tourism363
Tour3076,741737786,lime,none,wave,yellow aqueous,none,blue hex shirt,yellow safety vest,none,algo snake chain,none,blue at,heat map bandana,red gold cyclops,945.1892599808887,119,Alien Tourism3076
Tour1345,741425005,purple,none,donut,red blue pearlescent,none,none,red zip puffer,none,none,none,none,blue tando,red gold cyclops,944.4305759319418,120,Alien Tourism1345
Tour3668,741827024,blue blend,none,wave,purple base,none,black longsleeve top,black puffer vest,none,large gold chain,none,blue at,grey back hat,red gold cyclops,943.6629089635132,121,Alien Tourism3668
Tour2077,741582955,lavendar,yellow,wave,green base,none,candy corn,black leather,none,none,none,none,imperial crown,none,941.7935629534551,122,Alien Tourism2077
Tour1426,741432674,aurora,none,ice cream,confetti skin,none,none,none,silver suit,none,none,none,black at hat,gold visor,939.1848757266945,123,Alien Tourism1426
Tour3031,741732310,lime,none,wave,purple metallic,none,none,none,shield maiden,algo snake chain,none,red tourist,grey back hat,white sunglasses,938.5543633514092,124,Alien Tourism3031
Tour3364,741785990,royal blue,none,wave,purple aqueous,none,pink longsleeve top,none,none,none,none,none,none,yellow black cyclops,937.8830795692713,125,Alien Tourism3364
Tour3568,741810006,red spiral,red glow,wave,cow,none,gold leather suit,none,none,none,none,none,none,none,931.0465600533424,126,Alien Tourism3568
Tour2375,741627347,red,light blue,wave,quiksilver,none,none,none,french maid,none,none,green tourist,none,none,928.4898148949856,127,Alien Tourism2375
Tour971,741322638,dark gray,blue human,wave,black galaxy,einstein,none,red leather,none,none,surgical mask,none,none,none,928.0776104166976,128,Alien Tourism971
Tour3506,741802301,green,none,wave,blue green pearl,none,purple gloss shirt,none,none,algo snake chain,none,blue probe,desert at hat,red gold cyclops,927.1197499656288,129,Alien Tourism3506
Tour383,741211165,pink blend,red spiral,wave,orange gloss,none,metallic strapless,none,none,none,none,purple probe,desert at hat,blue monocle,926.0261204023343,130,Alien Tourism383
Tour2842,741704417,alaskan aurora,silver spiral,cash money,purple blue gloss,pigtail,none,yellow safety vest,none,none,purple bandana,none,none,none,925.5664908044922,131,Alien Tourism2842
Tour3393,741789988,light gray,blue spiral,wave,red metallic,none,metallic leather,none,none,none,none,none,viking helmet,none,925.286651440495,132,Alien Tourism3393
Tour1132,741352411,celestial,purple cat,wave,blue aqueous,none,gold shirt,camo,none,none,white bandana,red tourist,none,none,920.7913611289401,133,Alien Tourism1132
Tour2437,741637905,blue spiral,red spiral,wave,green gloss,none,none,none,white robe,none,none,none,red hard hat,none,916.6951201073846,134,Alien Tourism2437
Tour1556,741445973,blue spiral,black,wave,yellow aqueous,none,blue tech shirt,blue puffer vest,none,at medallion chain,purple bandana,none,none,none,915.2632148116265,135,Alien Tourism1556
Tour1548,741445081,pink blend,none,wave,yellow gloss,none,none,gold zip puffer,none,at snake chain,none,red 1,none,blue visor,913.9223999903154,136,Alien Tourism1548
Tour2292,741613275,emerald,black,wave,yellow gloss,none,ps sleeved halftop,gold bomber,none,none,none,none,black horns,none,913.7806872314515,137,Alien Tourism2292
Tour574,741247064,green,silver blue spiral,ice cream,confetti skin,none,yellow high top,illuminated leather,none,none,none,none,none,none,912.0161021514388,138,Alien Tourism574
Tour3451,741797029,royal blue,yellow,wave,blue gloss,none,gold leather suit,none,none,none,none,none,purple camo band,none,910.7201282372436,139,Alien Tourism3451
Tour1762,741465706,candy red,purple silver spiral,wave,green gloss,none,none,none,gold suit,none,none,none,none,none,906.4014515613069,140,Alien Tourism1762
Tour512,741235233,lollipop,light blue spiral,wave,berries and cream,bob,metallic strapless,none,none,algo medallion chain,none,none,none,none,905.5512576927159,141,Alien Tourism512
Tour3121,741748127,pink aurora,yellow iris,wave,black blue pearlescent,space bun,none,none,pink snow,none,none,none,none,none,903.0771034315436,142,Alien Tourism3121
Tour1446,741434231,lavendar,blue cat,wave,lava,none,gold dress,black puffer vest,none,none,none,none,blue camo band,none,898.9642820129108,143,Alien Tourism1446
Tour2563,741654458,orange spiral,gold spiral,wave,green aqueous,none,gold pattern shirt,red bomber,none,none,none,none,red camo back hat,orange monocle,898.4616275664629,144,Alien Tourism2563
Tour2484,741644068,candy red,none,burger,purple blue pearlescent,king,none,none,silver snow,none,none,none,none,blue pit glasses,897.2027716622304,145,Alien Tourism2484
Tour1651,741455229,acid blur,none,wave,green metallic,none,purple gloss shirt,yellow safety vest,none,none,none,none,orange check band,blue gold cyclops,894.9141371885862,146,Alien Tourism1651
Tour3674,741827805,pink blend,red,rock on,coral snake,none,yellow high top,none,none,at snake chain,none,none,orange check band,green gold cyclops,892.5669610779942,147,Alien Tourism3674
Tour3836,741847949,blood orange,silver spiral,wave,orange glow,none,none,none,pink hoodie,large gold chain,none,none,none,none,890.4029791294598,148,Alien Tourism3836
Tour3171,741757197,lightspeed,none,wave,yellow aqueous,none,camo shirt,black puffer vest,none,at snake chain,none,blue at,none,red gold cyclops,888.2627788853847,149,Alien Tourism3171
Tour1145,741354334,acid blur,yellow,donut,red blue pearlescent,none,gold pattern shirt,none,none,none,none,none,none,none,884.8642722317637,150,Alien Tourism1145
Tour1062,741341271,lime,silver spiral,wave,orange glow,none,gold pattern shirt,blue leather,none,none,none,none,orange check band,none,883.0827208608879,151,Alien Tourism1062
Tour1726,741462179,seagreen,fuschia spiral,wave,original base,comb over fade,blue metallic shirt,blue safety vest,none,none,none,none,none,none,879.8941761562365,152,Alien Tourism1726
Tour408,741215256,lime,light blue spiral,wave,blue aqueous,none,blue tech shirt,gold zip puffer,none,none,none,none,none,none,879.2894613454224,153,Alien Tourism408
Tour2751,741690639,lime,red,wave,cow,none,camo shirt,lightning,none,none,none,none,none,orange monocle,879.2415994101203,154,Alien Tourism2751
Tour3823,741846465,turquoise,gold brick spiral,wave,yellow aqueous,none,none,none,black soccer,none,none,none,colorful sun hat,none,877.8502759582544,155,Alien Tourism3823
Tour3259,741771780,dark gray,blue spiral,wave,green metallic,none,purple camo strapless,camo,none,none,none,none,imperial crown,none,877.318640965368,156,Alien Tourism3259
Tour564,741244711,red,blue glow,wave,yellow red pearlescent,curly,green camo polo,orange life vest,none,none,none,purple probe,none,none,876.9817672227873,157,Alien Tourism564
Tour2107,741588097,emerald,orange,wave,psychedelic,none,gold shirt,none,none,algo medallion chain,none,none,desert at hat,none,876.4892127271766,158,Alien Tourism2107
Tour692,741274169,orange,none,wave,green gloss,none,blue hex high top,none,none,at medallion chain,none,blue probe,red bandana,red gold cyclops,875.9079887424566,159,Alien Tourism692
Tour282,741191352,blood orange,red,wave,blue base,none,metallic oil shirt,none,none,none,none,none,none,none,875.4549382841711,160,Alien Tourism282
Tour2684,741681139,orange spiral,none,wave,purple blue pearl,none,rainbow leather suit,graffiti,none,large gold chain,none,blue at,none,purple cyclopsoo,875.2185300232504,161,Alien Tourism2684
Tour3813,741845313,dark gray,none,wave,rainbow red,none,rainbow shirt,red puffer vest,none,algo medallion chain,none,red tourist,acid back hat,blue pit glasses,874.3706960654986,162,Alien Tourism3813
Tour2126,741591263,blood orange,fuschia spiral,wave,rainbow green,none,purple leather suit,none,none,large gold chain,none,none,red horns,none,872.1134359218066,163,Alien Tourism2126
Tour1724,741462059,acid blur,none,burger,purple blue pearlescent,king,none,none,tree hawaiian,none,none,none,none,blue pit glasses,870.1706780987852,164,Alien Tourism1724
Tour3603,741816611,seagreen,green glow,wave,dark acid,none,none,none,yellow bball,none,none,none,camo bandana,none,869.0477403045594,165,Alien Tourism3603
Tour3583,741812993,red,red,wave,red metallic,none,medieval shirt,none,none,none,none,red tourist,red bandana,blue monocle,865.2976774122443,166,Alien Tourism3583
Tour1403,741429986,acid blur,none,wave,dark acid,none,blue camo dress,copper puffer vest,none,algo snake chain,none,blue probe,blue tando,white sunglasses,864.7770416789438,167,Alien Tourism1403
Tour1597,741449982,orange,gold,wave,blue glow,shaggy,orange metallic shirt,none,none,none,surgical mask,none,none,none,863.9749038807292,168,Alien Tourism1597
Tour312,741197340,candy red,none,coffee,gold,none,none,none,white robe,none,none,none,none,orange lens sunglasses,862.2079178178476,169,Alien Tourism312
Tour3107,741743087,aurora,yellow iris,wave,original base,comb over fade,fuschia longsleeve top,illuminated leather,none,large gold chain,none,none,none,none,859.898653844902,170,Alien Tourism3107
Tour3241,741769374,turquoise,blue spiral,wave,psychedelic,none,green high top,none,none,at medallion chain,purple bandana,blue probe,none,none,859.6814522463277,171,Alien Tourism3241
Tour269,741188560,pink aurora,none,wave,blue purple pearlescent,bob,none,none,blue hawaiian,none,none,purple 1,none,gold visor,858.1518627549817,172,Alien Tourism269
Tour795,741293112,dark gray,none,wave,purple metallic,none,none,hypno,none,at medallion chain,none,purple 1,swirl back hat,purple cyclopsoo,853.155522292049,173,Alien Tourism795
Tour1505,741440018,orange,pink,burger,purple blue pearlescent,king,pink longsleeve top,none,none,none,none,none,none,none,852.0889195893865,174,Alien Tourism1505
Tour3062,741735780,dark gray,none,stun gun,original base,mohawk,none,pink safety vest,none,none,none,none,none,blue gold cyclops,851.8926738371274,175,Alien Tourism3062
Tour1186,741409024,turquoise,green glow,camera,wild berry,none,seafoam shirt,yellow,none,none,none,none,camo at,none,849.553799665349,176,Alien Tourism1186
